,PSMs,F1.126.DMSO,F1.127N.DMSO,F1.127C.DMSO,F1.128N.MLN4924,F1.128C.MLN4924,F1.129N.MLN4924,F1.129C.CSN5i.R,F1.130N.CSN5i.R,F1.130C.CSN5i.R
AHNAK,1411,7.2505029960949,7.66783850700873,7.68001528575416,7.4199202266364,7.04384055361658,7.1233083184931,7.38328265959554,7.57337435735213,7.15450781496569
FLNB,557,-0.390711453215259,-0.170751858623182,-0.121800268794271,-0.135232387670294,-0.405500551156527,-0.295740944934616,-0.176204295208537,-0.0738336526382444,-0.221605767134719
DYNC1H1,410,5.04112372158123,4.77320850586818,4.68842411575655,5.11225907931817,6.00845794256499,5.31299846119324,5.23379831037538,4.91458814538263,5.27477040093909
AHNAK2,349,5.02260378948128,5.13101896674314,5.39112183154728,4.99344282178257,4.64314951059676,4.80887454615812,5.01443114879353,5.24339379658398,4.80529631614984
FLNC,504,5.31299055336691,5.36378075012253,5.29855337407281,5.49378497750577,5.21173841386363,5.32153995009808,5.4332368037394,5.43162250746672,5.49027608130206
SPTAN1,353,-2.32137646254807,-2.37773609087365,-2.18249823717553,-2.53689912358068,-2.48025700532378,-2.36317974312119,-2.31159835203688,-2.31050604130248,-2.44154147232574
PRKDC,356,4.99553471051074,4.68552382040089,4.65317962198721,4.90723370264203,5.97866538488676,5.22808440281,5.05412392129301,4.80906182080927,5.00769030038648
FLNA,390,4.71502403046732,4.93612695239067,4.80307016622842,4.98402434012128,4.59356854912124,4.79200771926443,4.92969860666798,4.96666432123962,4.93151676765348
MYH9,265,4.12388522668702,3.94721913753571,3.76829972429715,4.24127366855205,4.77178764532794,4.34372621561875,4.25866200779244,4.08339544734016,4.40226331404131
TLN1,267,4.14494482434294,4.09661142738372,4.17786948112082,3.99638989687546,4.27329716355946,4.11542192291235,4.22912245224104,4.0827044324791,4.1797584717068
ACTN4,454,4.72642283932773,4.85345944755384,4.81635848529332,4.8043924230546,4.43427669267435,4.71702165958284,4.72009677250955,4.78162585659434,4.74484680114265
MKI67,238,1.21517079133593,1.65500805710027,1.18408431728,1.85705107162438,1.61541848101166,1.34460711475133,1.37164251679077,1.58431172200546,1.71702284374522
