,PSMs,F1.126.DMSO,F1.127N.DMSO,F1.127C.DMSO,F1.128N.MLN4924,F1.128C.MLN4924,F1.129N.MLN4924,F1.129C.CSN5i.R,F1.130N.CSN5i.R,F1.130C.CSN5i.R
ND5,5,-2.17909454494339,-2.61225417700824,-2.26149224102539,-2.15959764765344,-1.76841342049577,-2.23943199540529,-2.02156709699014,-2.12728383513714,-1.62552828966696
NDUFAF2,8,-0.260399564415751,0.022228459556711,-0.174987162292483,-0.0744385728598846,-0.639404862800349,-0.108999878406834,-0.684581382925604,-0.392031655710205,-0.701964357387428
ARPC3,7,0.0480402452025217,-0.1046105332031,0.0856645922303176,-0.0858579749798647,0.181003385975863,-0.0441847986378843,0.261771787848161,0.0984683094176511,0.234046142492078
RBMS1,5,-0.694346473391828,-0.683545471194035,-0.786141251824649,-0.639101511970511,-1.19566904752673,-0.876143621238064,-1.00627544503755,-0.836804592650216,-1.34316338816427
TNS3,6,-1.38205227549206,-1.20885659328528,-1.38661962847904,-1.46498944573653,-1.4066973858546,-1.34292469561091,-1.39388372128436,-1.32258148939169,-1.28878720013411
CHST3,6,-1.24717848947116,-1.20755862195086,-1.17115992130448,-1.333359497696,-1.19566904752673,-1.36000739837363,-1.24080952790294,-1.2087390540627,-1.16973452849035
MTERFD2; MTERF4,7,-1.16895134608899,-1.25503733211774,-1.21920709571159,-1.19458578986564,-0.8488994018205,-1.14892941163557,-1.05385420174516,-1.21554958617959,-0.925872431931401
TRERF1,6,-1.39775950784701,-1.34493241277135,-1.49813514796778,-1.29990841652553,-1.52423172274288,-1.28245717409817,-1.41780700081486,-1.40321872967874,-1.50169631040469
TIMM22,5,-1.92468139633509,-1.6727589159678,-1.80704635718831,-1.64593786202791,-2.22700483233814,-1.71312371240495,-2.01566649555046,-1.79256958529393,-2.25384450315275
NDUFB4,7,-1.61371747105881,-1.86195394434043,-1.58527113160069,-1.53602369766231,-1.58130190823678,-1.66891100707262,-1.64123733229743,-1.64941949840286,-1.41178184650902
STK32C,6,-0.654647735113691,-0.747183757094353,-0.697395528167455,-0.816434024268249,-0.45922017795089,-0.775826210989134,-0.568600142078974,-0.669020233058761,-0.309096182534452
NDUFB5,9,-0.163235031491196,-0.183435414042956,-0.197812313496547,0.0189974221956071,0.0848566753323556,0.00364713694627206,0.0201010302314408,0.113038044431113,0.0966289921505918
MAPK7,5,-1.86015536636191,-1.97887832610623,-1.90882062270692,-1.89678066251795,-1.84029231691422,-1.98938842809126,-1.8808420719964,-1.81078854932114,-1.90670012265655
MRPS15,9,-0.243980789512108,-0.0827306627125139,0.0467580985102938,0.183308879581933,1.09597882875025,0.346009408238398,0.345070425975297,0.0840581020718592,1.0502888678702
HEATR5A,5,-1.2978553768708,-1.68174210215811,-1.31423370309736,-1.41664413801757,-0.602121606025831,-1.17824102076935,-1.05688062417005,-1.36317679303802,-0.452906579895219
ELP5,7,-0.621534483233575,-0.46308773573273,-0.663273643601965,-0.892980522865928,-1.21910684706081,-0.87056905850277,-0.927164872274519,-0.78917899609316,-1.11040666785098
RUFY2,6,-1.82894329023326,-2.02386077088681,-1.88696990148526,-1.99927028998377,-1.8362596237479,-2.11162773895287,-1.84691968530542,-1.88364368009665,-1.84792071100341
RIPK4,5,-1.99461568714942,-1.7238008296564,-1.79521651420006,-1.45935862437821,-1.0432139718332,-1.21591508232335,-1.34127963724567,-1.31606082273909,-1.11700185666627
MYBL2,9,-0.708968507756675,-0.53941337012275,-0.735937301149837,-0.0995565202363764,-0.631084546590596,-0.248079544018804,-0.723485744057145,-0.638700681765794,-1.05658860225158
KCTD2,9,-2.58376424895718,-2.51592805993322,-2.61710346216904,-2.40345457817849,-2.94604308666312,-2.51400802312178,-2.86060460041622,-2.51079861687855,-2.82614376860816
PDSS2,7,-0.624765604496588,-0.739659906712539,-0.585734201750997,-0.655103680920051,-0.587643435110607,-0.661190881408205,-0.491234320519975,-0.428931238521734,-0.594134626948987
MAFK,6,-2.63869582254965,-2.83665173423507,-2.65353224912377,-2.62327489143323,-2.63808793432836,-2.96067713144973,-2.6000402612947,-2.97186000495992,-2.85158237550938
C12orf75,5,-1.06309542503218,-1.19271528549446,-1.08549686996148,-0.966952569711045,-1.25768743672153,-1.14623278460581,-1.29337892306065,-1.10533320493155,-1.08863794038176
